DEPT,GR,T-TEMP
26.8224,,21.0544
26.9748,,21.0978
27.1272,,21.0795
27.2796,,21.0611
27.432,,21.0427
27.5844,,21.092
27.7368,,21.0796
27.8892,,21.0673
28.0416,,21.0549
28.194,,21.0944
28.3464,,21.0906
28.4988,,21.0868
28.6512,,21.083
28.8036,,21.0845
28.956,,21.0933
29.1084,,21.1022
29.2608,,21.1111
29.4132,,21.1149
29.5656,,21.1194
29.718,,21.1239
29.8704,,21.1681
30.0228,,21.1552
30.1752,,21.1423
30.3276,,21.1294
30.48,,21.2
30.6324,,21.1955
30.7848,,21.1911
30.9372,,21.2332
31.0896,,21.2285
31.242,,21.2237
31.3944,,21.2189
31.5468,,21.2603
31.6992,,21.2554
31.8516,,21.2505
32.004,,21.2772
32.1564,,21.2727
32.3088,,21.2683
32.4612,,21.2699
32.6136,,21.3249
32.766,,21.3249
32.9184,,21.3249
33.0708,,21.3249
33.2232,,21.3401
33.3756,,21.3401
33.528,,21.3401
33.6804,,21.3401
33.8328,,21.3554
33.9852,,21.3554
34.1376,,21.3554
34.29,,21.3554
34.4424,,21.3554
34.5948,,21.3595
34.7472,,21.3662
34.8996,,21.3728
35.052,,21.3794
35.2044,,21.389
35.3568,,21.4054
35.5092,,21.3919
35.6616,,21.3785
35.814,,21.4659
35.9664,,21.5689
36.1188,,21.5604
36.2712,,21.5538
36.4236,,21.5538
36.576,,21.5538
36.7284,,21.5538
36.8808,,21.5538
37.0332,,21.5538
37.1856,,21.5538
37.338,,21.5538
37.4904,,21.5538
37.6428,,21.5538
37.7952,,21.5538
37.9476,,21.5538
38.1,,21.5538
38.2524,,21.5538
38.4048,,21.5538
38.5572,,21.5538
38.7096,,21.5538
38.862,,21.5538
39.0144,,21.5538
39.1668,,21.5538
39.3192,,21.5538
39.4716,,21.5538
39.624,,21.5538
39.7764,,21.5538
39.9288,,21.5538
40.0812,,21.5538
40.2336,,21.5538
40.386,,21.5538
40.5384,,21.5538
40.6908,,21.5538
40.8432,,21.5538
40.9956,,21.5538
41.148,,21.5538
41.3004,,21.5538
41.4528,,21.5538
41.6052,,21.5538
41.7576,,21.5538
41.91,,21.5538
42.0624,,21.5538
42.2148,,21.5538
42.3672,,21.5538
42.5196,,21.5538
42.672,,21.5538
42.8244,,21.5538
42.9768,,21.5538
43.1292,,21.5538
43.2816,,21.5538
43.434,,21.5538
43.5864,,21.5538
43.7388,,21.5538
43.8912,,21.5538
44.0436,,21.5538
44.196,,21.5538
44.3484,,21.5538
44.5008,,21.5538
44.6532,,21.5538
44.8056,,21.5538
44.958,,21.5538
45.1104,,21.5538
45.2628,,21.5538
45.4152,,21.5538
45.5676,,21.5538
45.72,,21.5538
45.8724,,21.5538
46.0248,,21.9203
46.1772,,22.0316
46.3296,,22.0375
46.482,,22.0446
46.6344,,22.0562
46.7868,,22.0677
46.9392,,22.0697
47.0916,,22.0649
47.244,,22.06
47.3964,,22.0608
47.5488,,22.0683
47.7012,,22.0759
47.8536,,22.0834
48.006,,22.0878
48.1584,,22.0878
48.3108,,22.0878
48.4632,,22.0891
48.6156,,22.095
48.768,,22.1009
48.9204,,22.1064
49.0728,,22.1117
49.2252,,22.1169
49.3776,,22.115
49.53,,22.1104
49.6824,,22.1058
49.8348,,22.105
49.9872,,22.1095
50.1396,53.0985,22.1139
50.292,53.8953,22.1183
50.4444,54.3457,22.1183
50.5968,55.7615,22.1183
50.7492,56.4844,22.1216
50.9016,56.2323,22.1257
51.054,57.3784,22.1297
51.2064,56.0538,22.1338
51.3588,57.0646,22.1428
51.5112,57.097,22.1517
51.6636,56.1557,22.1607
51.816,56.5595,22.1589
51.9684,56.9766,22.1504
52.1208,57.019,22.1419
52.2732,56.8982,22.1337
52.4256,58.0836,22.1379
52.578,57.249,22.1422
52.7304,55.578,22.1464
52.8828,56.5453,22.1489
53.0352,55.9028,22.1489
53.1876,55.8122,22.1489
53.34,56.7181,22.1489
53.4924,56.8418,22.1666
53.6448,58.9322,22.1845
